Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-06-21T23:39:18+1000,Trade,BUY_TO_OPEN,APPS,Equity,Bought 16 APPS @ 65.77,"-1,052.32",16,-65.77,0.00,-0.013,,,,,,,156522615
2021-06-21T23:39:18+1000,Trade,BUY_TO_OPEN,APPS,Equity,Bought 4 APPS @ 65.77,-263.08,4,-65.77,0.00,-0.004,,,,,,,156522615
2021-06-21T23:07:46+1000,Trade,BUY_TO_OPEN,AAPL,Equity,Bought 10 AAPL @ 130.46,"-1,304.60",10,-130.46,0.00,-0.008,,,,,,,156504888
2021-06-20T00:46:59+1000,Money Movement,,,,Regulatory fee adjustment,0.03,0,,--,0.00,,,,,,,
2021-06-19T07:00:00+1000,Receive Deliver,,NVAX  210618C00170000,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,NVAX,NVAX,6/19/21,170.0,CALL,
2021-06-19T07:00:00+1000,Receive Deliver,SELL_TO_CLOSE,NVAX,Equity,Sell to Close 100 NVAX @ 170.00,"17,000.00",100,170.00,--,-5.102,,,,,,,
2021-06-19T06:00:00+1000,Receive Deliver,,LXRX  210618C00005000,Equity Option,Removal of 21.0 LXRX 06/18/21 Call 5.00 due to expiration.,0.00,21,0.00,--,0.00,100,LXRX,LXRX,6/19/21,5.0,CALL,
2021-06-19T00:21:12+1000,Trade,BUY_TO_CLOSE,SOL   210618C00010000,Equity Option,Bought 14 SOL 06/18/21 Call 10.00 @ 0.02,-28.00,14,-2.00,0.00,-1.89,100,SOL,SOL,6/19/21,10.0,CALL,155874691
2021-06-19T00:09:20+1000,Trade,BUY_TO_CLOSE,SOL   210618C00010000,Equity Option,Bought 2 SOL 06/18/21 Call 10.00 @ 0.02,-4.00,2,-2.00,0.00,-0.27,100,SOL,SOL,6/19/21,10.0,CALL,155874691
2021-06-18T03:23:39+1000,Trade,BUY_TO_OPEN,YOLO,Equity,Bought 12 YOLO @ 20.36,-244.32,12,-20.36,0.00,-0.01,,,,,,,156061186
2021-06-18T03:02:43+1000,Trade,BUY_TO_OPEN,FB,Equity,Bought 2 FB @ 335.26,-670.52,2,-335.26,0.00,-0.002,,,,,,,156055772
